Categoria,Volume
Ciclo Otto,355034.437
Ciclo Diesel,302399.705
Transmissões e Sistemas Hidráulicos,273500.137
Outros Óleos Lubrificantes Acabados,64971.119
Engrenagens e Sistemas Circulatórios,45093.954
Óleos Lubrificantes Marítimos,29220.673
Óleos Lubrificantes Ferroviários,14497.538
Motores 2 tempos,12463.834
Isolante Tipo A,8888.778
Isolante Tipo B,729.9
Óleos Lubrificantes para Aviação,0.24
