categoria,percentual
Ciclo Otto,32.08
Ciclo Diesel,27.32
Transmissões e Sistemas Hidráulicos,24.71
Outros Óleos Lubrificantes Acabados,5.87
Engrenagens e Sistemas Circulatórios,4.07
Óleos Lubrificantes Marítimos,2.64
Óleos Lubrificantes Ferroviários,1.31
Motores 2 tempos,1.13
Isolante Tipo A,0.8
Isolante Tipo B,0.07
Óleos Lubrificantes para Aviação,0.0
